id,user_id,subject_id,day,period,start_time,end_time,room,department,semester
33aee1e1-13a5-482a-8e97-daaffb779ca2,18d61081-d3de-4ace-9910-bd077d9211c9,6354d14c-9e87-4671-bf17-43e6f2a24c15,Monday,3,10:10:00,11:05:00,CR 5,,
9eef8a58-40df-4043-9dab-55c135bdd0c2,18d61081-d3de-4ace-9910-bd077d9211c9,6354d14c-9e87-4671-bf17-43e6f2a24c15,Monday,4,11:05:00,12:00:00,CR 5,,
6180e77f-4cfc-4e64-8128-ba5a013fc393,18d61081-d3de-4ace-9910-bd077d9211c9,f8ce88a1-ae33-4103-9021-d8e13881017a,Monday,5,13:00:00,13:50:00,CR 5,,
f18b8c19-9fe2-466f-addb-c813565915c0,18d61081-d3de-4ace-9910-bd077d9211c9,f8ce88a1-ae33-4103-9021-d8e13881017a,Monday,6,13:50:00,14:40:00,CR 5,,
96aa5fbc-f326-43f0-97d5-dc94ca726939,18d61081-d3de-4ace-9910-bd077d9211c9,f5d2b172-ee7d-4e3b-86b6-2d83e8ab38c4,Monday,7,14:55:00,15:45:00,CR 5,,
a65552e6-00ce-419e-9427-d550f36a3082,18d61081-d3de-4ace-9910-bd077d9211c9,fe90a0d1-d32b-4f06-a4d8-8f80b4b43857,Tuesday,1,08:00:00,08:55:00,IoT Lab,,
e78ac798-639d-49b4-a039-a0c8a0a55230,18d61081-d3de-4ace-9910-bd077d9211c9,fe90a0d1-d32b-4f06-a4d8-8f80b4b43857,Tuesday,2,08:55:00,09:50:00,IoT Lab,,
8a37e4ec-cf22-4383-9875-83f49751d063,18d61081-d3de-4ace-9910-bd077d9211c9,4a7f4069-8025-4e9c-9432-30e0c20e536a,Tuesday,3,10:10:00,11:05:00,IoT LAB,,
51b11553-de7a-45a9-a375-44adb3430359,18d61081-d3de-4ace-9910-bd077d9211c9,4a7f4069-8025-4e9c-9432-30e0c20e536a,Tuesday,4,11:05:00,12:00:00,IoT LAB,,
bb5e4b57-b624-4988-b7b2-5c1bd3165717,18d61081-d3de-4ace-9910-bd077d9211c9,f0af6a32-0afb-452c-a432-923bbfea1490,Tuesday,5,13:00:00,13:50:00,CR 5,,
f2bcaef3-ff38-43d2-be9d-ac476a1a5202,18d61081-d3de-4ace-9910-bd077d9211c9,ffedf79b-595d-4b06-9ed0-b8243d029dd1,Tuesday,6,13:50:00,14:40:00,CR 5,,
f600007a-9d36-4cb9-9c11-9488a32a0139,18d61081-d3de-4ace-9910-bd077d9211c9,f0af6a32-0afb-452c-a432-923bbfea1490,Tuesday,7,14:55:00,15:45:00,CR 5,,
f29eade8-dba7-4d9a-869c-898d22bd2fb6,18d61081-d3de-4ace-9910-bd077d9211c9,ffedf79b-595d-4b06-9ed0-b8243d029dd1,Wednesday,1,08:00:00,08:55:00,CR 5,,
c31a224f-f0b8-4787-b7cb-e56c06ee0c10,18d61081-d3de-4ace-9910-bd077d9211c9,42ec6cb2-af34-49cc-8480-f7b9ae014150,Wednesday,2,08:55:00,09:50:00,CR 5,,
23b2b1b5-b78f-47f6-922b-c104f9bdb9af,18d61081-d3de-4ace-9910-bd077d9211c9,2fd64f51-4c28-455a-a24f-ee801660d98f,Wednesday,3,10:10:00,11:05:00,CR 5,,
59cdb8c9-2584-43cd-8bc5-8bb2bcf408bb,18d61081-d3de-4ace-9910-bd077d9211c9,01905e7c-b9c8-46fc-9e4a-12c4377073d8,Wednesday,4,11:05:00,12:00:00,CR 5,,
803c8d0f-218a-47a4-82ab-e8ef29e5b5b4,18d61081-d3de-4ace-9910-bd077d9211c9,f8ce88a1-ae33-4103-9021-d8e13881017a,Wednesday,5,13:00:00,13:50:00,CR 5,,
1850be42-8853-4009-bfa5-d1599a820aeb,18d61081-d3de-4ace-9910-bd077d9211c9,f6ebba85-ddbc-4318-978a-2045270243d6,Wednesday,6,13:50:00,14:40:00,CR 5,,
5d26fa0a-27bc-4b5e-8efb-f5bc7607db6b,18d61081-d3de-4ace-9910-bd077d9211c9,f6ebba85-ddbc-4318-978a-2045270243d6,Wednesday,7,14:55:00,15:45:00,CR 5,,
1c7db0d6-52ca-40d3-aa89-190bfec52288,18d61081-d3de-4ace-9910-bd077d9211c9,2fd64f51-4c28-455a-a24f-ee801660d98f,Thursday,1,08:00:00,08:55:00,CR 5,,
4a0017c8-c3dd-4fc0-be53-42ea29ccf802,18d61081-d3de-4ace-9910-bd077d9211c9,3562fdc9-fcce-487f-85e0-f768151f8241,Thursday,2,08:55:00,09:50:00,CR 5,,
886d6589-fcda-4d3e-9609-5d902b28ba5f,18d61081-d3de-4ace-9910-bd077d9211c9,42ec6cb2-af34-49cc-8480-f7b9ae014150,Thursday,3,10:10:00,11:05:00,CR 5,,
76ad1064-fcb7-47fe-83cd-38f3f43da2ba,18d61081-d3de-4ace-9910-bd077d9211c9,f5d2b172-ee7d-4e3b-86b6-2d83e8ab38c4,Thursday,4,11:05:00,12:00:00,CR 5,,
1efdec03-6653-40cb-8d3f-7cbd8a7763d2,18d61081-d3de-4ace-9910-bd077d9211c9,12667c3e-ec9b-4d6e-81ff-4202d716d05a,Thursday,5,13:00:00,13:50:00,CR 5,,
d430b561-8de6-4be9-bdf4-a6a604f0d83e,18d61081-d3de-4ace-9910-bd077d9211c9,12667c3e-ec9b-4d6e-81ff-4202d716d05a,Thursday,6,13:50:00,14:40:00,CR 5,,
01ececa8-cde3-4486-a00b-64ab36410b24,18d61081-d3de-4ace-9910-bd077d9211c9,f5d2b172-ee7d-4e3b-86b6-2d83e8ab38c4,Thursday,7,14:55:00,15:45:00,CR 5,,
3e81a89b-11fa-40a2-b4bf-74bb65cc4944,18d61081-d3de-4ace-9910-bd077d9211c9,42ec6cb2-af34-49cc-8480-f7b9ae014150,Friday,1,08:00:00,08:55:00,CR 5,,
717c86a6-45b7-4519-872f-99e742c58477,18d61081-d3de-4ace-9910-bd077d9211c9,42ec6cb2-af34-49cc-8480-f7b9ae014150,Friday,2,08:55:00,09:50:00,CR 5,,
29e46de8-2581-4f69-89ac-c2d31eb8c227,18d61081-d3de-4ace-9910-bd077d9211c9,f0af6a32-0afb-452c-a432-923bbfea1490,Friday,3,10:10:00,11:05:00,CR 5,,
38dc215d-9903-4395-b37a-bb0bebaf3866,18d61081-d3de-4ace-9910-bd077d9211c9,ffedf79b-595d-4b06-9ed0-b8243d029dd1,Friday,4,11:05:00,12:00:00,CR 5,,
aae2328e-b97a-4304-bf48-5e35b36e841b,18d61081-d3de-4ace-9910-bd077d9211c9,aebf1251-1db1-4ccd-b2ca-e21531ffe33c,Friday,5,13:00:00,13:50:00,IoT Lab,,
20491c66-2162-4ba9-8b27-925a02038c13,18d61081-d3de-4ace-9910-bd077d9211c9,aebf1251-1db1-4ccd-b2ca-e21531ffe33c,Friday,6,13:50:00,14:40:00,IoT Lab,,
fe99fa48-7d60-43aa-af9e-9dcb8dc003f0,18d61081-d3de-4ace-9910-bd077d9211c9,2fd64f51-4c28-455a-a24f-ee801660d98f,Friday,7,14:55:00,15:45:00,CR 5,,
8b7974f2-6983-4d48-a352-7c2a46f479a0,18d61081-d3de-4ace-9910-bd077d9211c9,42ec6cb2-af34-49cc-8480-f7b9ae014150,Saturday,1,08:00:00,08:55:00,CR 5,,
91ec38b0-61e9-4d4b-b7fe-b6e9738a4d74,18d61081-d3de-4ace-9910-bd077d9211c9,3562fdc9-fcce-487f-85e0-f768151f8241,Saturday,2,08:55:00,09:50:00,CR 5,,
82605c88-99c6-4c20-86af-7d6ccdd966ef,18d61081-d3de-4ace-9910-bd077d9211c9,ffedf79b-595d-4b06-9ed0-b8243d029dd1,Saturday,3,10:10:00,11:05:00,CR 5,,
ae3aff39-0cda-4c71-bbdd-c1e1a59e327a,18d61081-d3de-4ace-9910-bd077d9211c9,f5d2b172-ee7d-4e3b-86b6-2d83e8ab38c4,Saturday,4,11:05:00,12:00:00,CR 5,,
757eee0e-eb5c-49a8-8be4-80d1b7322905,18d61081-d3de-4ace-9910-bd077d9211c9,f0af6a32-0afb-452c-a432-923bbfea1490,Saturday,5,13:00:00,13:50:00,CR 5,,
4f3d658a-26ea-44a7-bb62-7d13175b82f7,18d61081-d3de-4ace-9910-bd077d9211c9,f6ebba85-ddbc-4318-978a-2045270243d6,Saturday,6,13:50:00,14:40:00,CR 5,,
43ce297a-f713-4cf2-86e9-bd2a813e0961,18d61081-d3de-4ace-9910-bd077d9211c9,2fd64f51-4c28-455a-a24f-ee801660d98f,Saturday,7,14:55:00,15:45:00,CR 5,,
98ab6280-877b-40a8-90ec-1fdb26ba0f03,18d61081-d3de-4ace-9910-bd077d9211c9,fb41f563-c8c6-40be-a7bf-e48b7c279680,Monday,1,08:00:00,08:55:00,CR 5,,
95cdad2b-e8c2-4ea3-bfcb-bfa1c3fa5eb4,18d61081-d3de-4ace-9910-bd077d9211c9,fb41f563-c8c6-40be-a7bf-e48b7c279680,Monday,2,08:55:00,09:50:00,CR 5,,
62f34d5f-1190-4728-a3a0-424f2ee2e484,18d61081-d3de-4ace-9910-bd077d9211c9,6653afa1-5571-421b-9e59-55321f1d0c34,Monday,3,10:10:00,11:05:00,CR 5,,
c81374d4-e80d-40b5-b895-a9c416e58d11,18d61081-d3de-4ace-9910-bd077d9211c9,6653afa1-5571-421b-9e59-55321f1d0c34,Monday,4,11:05:00,12:00:00,CR 5,,
f8e8757a-b6f0-421f-be54-dbff154efd56,18d61081-d3de-4ace-9910-bd077d9211c9,fb717a30-9d5e-40ee-a8dd-3dff496f6621,Monday,5,13:00:00,13:50:00,CR 5,,
6aaef28b-677a-4a22-a704-1a8c849bb768,18d61081-d3de-4ace-9910-bd077d9211c9,fb717a30-9d5e-40ee-a8dd-3dff496f6621,Monday,6,13:50:00,14:40:00,CR 5,,
6495d658-179b-45c2-940e-583e0afa30c4,18d61081-d3de-4ace-9910-bd077d9211c9,e06e4539-6655-4df8-82b6-829b5dd25632,Monday,7,14:55:00,15:45:00,CR 5,,
bd55af49-424c-4768-b192-980b15606cd2,18d61081-d3de-4ace-9910-bd077d9211c9,d96acc35-4491-4ff5-b9a9-ef40e02169f1,Tuesday,1,08:00:00,08:55:00,IoT Lab,,
b16fde93-fb13-42f5-a9db-c488516f4085,18d61081-d3de-4ace-9910-bd077d9211c9,d96acc35-4491-4ff5-b9a9-ef40e02169f1,Tuesday,2,08:55:00,09:50:00,IoT Lab,,
421eefca-4c4e-4d66-b2bd-5b6f7c49c8db,18d61081-d3de-4ace-9910-bd077d9211c9,06032d49-1eeb-489f-aa3f-cd32c203ede6,Tuesday,3,10:10:00,11:05:00,IoT LAB,,
63df022d-3381-472f-9fca-f3f47e061d48,18d61081-d3de-4ace-9910-bd077d9211c9,06032d49-1eeb-489f-aa3f-cd32c203ede6,Tuesday,4,11:05:00,12:00:00,IoT LAB,,
4595f4f2-adac-4305-8362-b0f2c012e389,a46113b2-b8bb-4498-9d23-89c29d559d00,c606ee72-6070-4686-96e4-3683a68a5df8,Tuesday,4,11:05:00,12:00:00,IoT LAB,,
6037c7c1-1708-49bf-8cc3-f9d6a5dbe7d6,18d61081-d3de-4ace-9910-bd077d9211c9,c1460ece-1d81-4393-a677-7cc5718f288d,Tuesday,5,13:00:00,13:50:00,CR 5,,
260765ce-f2cd-4844-956a-44d2e777c693,18d61081-d3de-4ace-9910-bd077d9211c9,43a6a7a6-fd50-4a02-a20b-d4e2371ea42d,Tuesday,6,13:50:00,14:40:00,CR 5,,
57454ff7-a1c1-48fd-9263-c43b2c76bcbb,18d61081-d3de-4ace-9910-bd077d9211c9,c1460ece-1d81-4393-a677-7cc5718f288d,Tuesday,7,14:55:00,15:45:00,CR 5,,
